initials	month	sampleID	sampleName	region	type	location	timespan	days	oil	lightDark	replicate	QPCRCopies	QPCR_SD
AG-101_S106_F_filt.fastq.gz	AG	june	101	GF_deep_4_MGO_dark_1	GF	insitu	deep	4	379	MGO	dark	1	63297842.8287271	4709153.779834
AG-102_S118_F_filt.fastq.gz	AG	june	102	GF_deep_4_MGO_dark_2	GF	insitu	deep	4	379	MGO	dark	2	6108568.62245614	414513.114738141
AG-103_S130_F_filt.fastq.gz	AG	june	103	GF_deep_4_TBC_dark_1	GF	insitu	deep	4	379	TBC	dark	1	57276524.5727551	15840056.3086029
AG-104_S142_F_filt.fastq.gz	AG	june	104	GF_deep_4_TBC_dark_2	GF	insitu	deep	4	379	TBC	dark	2	20971764.7717977	7980823.68009574
AG-105_S154_F_filt.fastq.gz	AG	june	105	GF_sediment_2_blank_dark_1	GF	insitu	sediment	2	37	blank	dark	1	568232.536983752	153294.085124196
AG-106_S71_F_filt.fastq.gz	AG	june	106	GF_sediment_2_blank_dark_2	GF	insitu	sediment	2	37	blank	dark	2	856508.529924967	686164.877969072
AG-109_S83_F_filt.fastq.gz	AG	june	109	GF_sediment_2_MGO_dark_1	GF	insitu	sediment	2	37	MGO	dark	1	148286795.686039	6661598.52538701
AG-110_S149_F_filt.fastq.gz	AG	june	110	GF_sediment_2_MGO_dark_2	GF	insitu	sediment	2	37	MGO	dark	2	35714574.4708002	5341258.52899085
AG-117_S161_F_filt.fastq.gz	AG	june	117	GF_sediment_3_MGO_dark_1	GF	insitu	sediment	3	100	MGO	dark	1	17471269.5382441	7815427.19491452
AG-118_S131_F_filt.fastq.gz	AG	june	118	GF_sediment_3_MGO_dark_2	GF	insitu	sediment	3	100	MGO	dark	2	5592111.27619528	3841961.19923963
AG-119_S78_F_filt.fastq.gz	AG	june	119	GF_sediment_3_TBC_dark_1	GF	insitu	sediment	3	100	TBC	dark	1	97793691.0618634	5093356.34505698
AG-120_S90_F_filt.fastq.gz	AG	june	120	GF_sediment_3_TBC_dark_2	GF	insitu	sediment	3	100	TBC	dark	2	156867969.009992	7513545.30023427
AG-121_S143_F_filt.fastq.gz	AG	june	121	GF_surface_1_blank_dark_1	GF	insitu	surface	1	8	blank	dark	1	328837.478786695	27217.0382129505
AG-122_S155_F_filt.fastq.gz	AG	june	122	GF_surface_1_blank_dark_2	GF	insitu	surface	1	8	blank	dark	2	371998.908468663	19421.0762622814
AG-123_S72_F_filt.fastq.gz	AG	june	123	GF_surface_1_blank_light_1	GF	insitu	surface	1	8	blank	light	1	1061721.79963895	55534.7623267165
AG-124_S84_F_filt.fastq.gz	AG	june	124	GF_surface_1_blank_light_2	GF	insitu	surface	1	8	blank	light	2	340338.632003267	43804.7631754504
AG-130_S108_F_filt.fastq.gz	AG	june	130	GF_surface_1_MGO_dark_2	GF	insitu	surface	1	8	MGO	dark	2	2310387.29522628	37705.7046821832
AG-132_S132_F_filt.fastq.gz	AG	june	132	GF_surface_1_MGO_light_2	GF	insitu	surface	1	8	MGO	light	2	492177.833849444	21100.4114723015
AG-133_S144_F_filt.fastq.gz	AG	june	133	GF_surface_1_TBC_dark_1	GF	insitu	surface	1	8	TBC	dark	1	932594.118086429	63922.4821774666
AG-136_S73_F_filt.fastq.gz	AG	june	136	GF_surface_1_TBC_light_2	GF	insitu	surface	1	8	TBC	light	2	610366.833175249	26624.3703341832
AG-137_S85_F_filt.fastq.gz	AG	june	137	GF_surface_2_blank_dark_1	GF	insitu	surface	2	37	blank	dark	1	67960.8910378616	17162.7626935716
AG-138_S77_F_filt.fastq.gz	AG	june	138	GF_surface_2_blank_dark_2	GF	insitu	surface	2	37	blank	dark	2	158579.897678529	8297.54340344419
AG-139_S97_F_filt.fastq.gz	AG	june	139	GF_surface_2_blank_light_1	GF	insitu	surface	2	37	blank	light	1	7951933.96725259	5811140.19151606
AG-140_S109_F_filt.fastq.gz	AG	june	140	GF_surface_2_blank_light_2	GF	insitu	surface	2	37	blank	light	2	11065050.46812	3669640.33457827
